date,code,volume,closeprofit,dynprofit
20180103,SZSE.IDX.399662,1,0.00,35.34
20180104,SZSE.IDX.399662,1,0.00,34.44
20180105,SZSE.IDX.399662,1,0.00,19.69
20180109,SZSE.IDX.399662,1,19.14,-3.05
20180111,SZSE.IDX.399662,-1,13.91,-21.16
20180115,SZSE.IDX.399662,-1,-4.55,62.29
20180116,SZSE.IDX.399662,-1,-4.55,52.27
20180118,SZSE.IDX.399662,-1,50.85,-9.36
20180122,SZSE.IDX.399662,1,42.28,30.38
20180124,SZSE.IDX.399662,1,71.80,28.96
20180126,SZSE.IDX.399662,1,97.10,4.39
20180129,SZSE.IDX.399662,1,97.10,-22.63
20180131,SZSE.IDX.399662,1,67.81,-33.25
20180202,SZSE.IDX.399662,1,29.45,26.40
20180206,SZSE.IDX.399662,1,23.20,-73.71
20180208,SZSE.IDX.399662,-1,-8.63,-27.08
20180212,SZSE.IDX.399662,1,14.38,47.11
20180213,SZSE.IDX.399662,1,14.38,54.60
20180222,SZSE.IDX.399662,-1,73.66,-29.99
20180226,SZSE.IDX.399662,-1,40.16,-36.94
20180301,SZSE.IDX.399662,1,6.68,40.59
20180302,SZSE.IDX.399662,1,6.68,25.29
20180305,SZSE.IDX.399662,1,6.68,30.98
20180307,SZSE.IDX.399662,1,40.99,-19.27
20180309,SZSE.IDX.399662,1,19.24,37.23
20180312,SZSE.IDX.399662,1,19.24,77.61
20180313,SZSE.IDX.399662,1,19.24,62.06
20180315,SZSE.IDX.399662,1,76.30,7.56
20180319,SZSE.IDX.399662,1,83.22,3.55
20180321,SZSE.IDX.399662,1,69.82,-33.59
20180323,SZSE.IDX.399662,1,39.03,-54.12
20180327,SZSE.IDX.399662,1,-42.45,35.97
20180328,SZSE.IDX.399662,1,-42.45,19.56
20180329,SZSE.IDX.399662,1,-42.45,42.94
20180330,SZSE.IDX.399662,1,-42.45,80.02
20180402,SZSE.IDX.399662,1,-42.45,79.68
20180404,SZSE.IDX.399662,1,0.61,-38.26
20180410,SZSE.IDX.399662,1,-45.05,10.18
20180412,SZSE.IDX.399662,1,-28.05,-18.10
20180416,SZSE.IDX.399662,1,-32.67,11.64
20180418,SZSE.IDX.399662,1,-13.95,27.31
20180420,SZSE.IDX.399662,1,13.68,-30.75
20180424,SZSE.IDX.399662,-1,-10.83,-53.02
20180426,SZSE.IDX.399662,1,-49.90,-43.56
20180502,SZSE.IDX.399662,-1,-85.71,15.72
20180504,SZSE.IDX.399662,1,-66.93,-9.22
20180508,SZSE.IDX.399662,1,-67.18,10.39
20180509,SZSE.IDX.399662,1,-67.18,9.58
20180510,SZSE.IDX.399662,1,-67.18,14.01
20180514,SZSE.IDX.399662,1,-51.08,-9.63
20180516,SZSE.IDX.399662,1,-55.68,-6.90
20180518,SZSE.IDX.399662,1,-60.12,9.43
20180522,SZSE.IDX.399662,1,-34.39,6.11
20180524,SZSE.IDX.399662,-1,-35.96,6.24
20180528,SZSE.IDX.399662,1,-27.34,-13.80
20180530,SZSE.IDX.399662,1,-39.39,-33.37
20180601,SZSE.IDX.399662,-1,-56.02,8.51
20180605,SZSE.IDX.399662,-1,-52.32,-36.53
20180607,SZSE.IDX.399662,1,-87.59,-17.22
20180611,SZSE.IDX.399662,-1,-107.10,6.36
20180613,SZSE.IDX.399662,1,-103.53,-27.92
20180615,SZSE.IDX.399662,1,-139.12,-28.19
20180620,SZSE.IDX.399662,-1,-202.62,-20.58
20180622,SZSE.IDX.399662,-1,-221.86,-44.16
20180626,SZSE.IDX.399662,-1,-281.02,-50.02
20180628,SZSE.IDX.399662,1,-331.61,-9.99
20180702,SZSE.IDX.399662,1,-338.00,-30.78
20180704,SZSE.IDX.399662,1,-366.12,-32.60
20180706,SZSE.IDX.399662,1,-401.65,7.90
20180710,SZSE.IDX.399662,1,-387.64,11.71
20180711,SZSE.IDX.399662,1,-387.64,-23.14
20180713,SZSE.IDX.399662,1,-409.95,1.95
20180717,SZSE.IDX.399662,-1,-410.68,-6.22
20180718,SZSE.IDX.399662,-1,-410.68,19.36
20180720,SZSE.IDX.399662,1,-393.16,27.82
20180724,SZSE.IDX.399662,1,-371.18,21.42
20180725,SZSE.IDX.399662,1,-371.18,20.31
20180726,SZSE.IDX.399662,1,-371.18,-6.13
20180730,SZSE.IDX.399662,-1,-380.77,24.74
20180731,SZSE.IDX.399662,-1,-380.77,33.28
20180801,SZSE.IDX.399662,-1,-380.77,59.35
20180803,SZSE.IDX.399662,-1,-313.79,29.52
20180806,SZSE.IDX.399662,-1,-313.79,61.67
20180808,SZSE.IDX.399662,1,-259.54,-27.38
20180810,SZSE.IDX.399662,1,-288.27,12.59
20180813,SZSE.IDX.399662,1,-288.27,30.34
20180814,SZSE.IDX.399662,1,-288.27,14.81
20180816,SZSE.IDX.399662,-1,-273.12,-11.81
20180820,SZSE.IDX.399662,-1,-301.70,-18.72
20180822,SZSE.IDX.399662,1,-319.27,-19.52
20180824,SZSE.IDX.399662,1,-339.21,-6.61
20180828,SZSE.IDX.399662,1,-341.74,4.87
20180829,SZSE.IDX.399662,1,-341.74,-7.86
20180831,SZSE.IDX.399662,1,-350.14,-9.20
20180904,SZSE.IDX.399662,-1,-360.83,-17.26
20180906,SZSE.IDX.399662,1,-371.90,-0.30
20180910,SZSE.IDX.399662,1,-368.92,-39.95
20180912,SZSE.IDX.399662,1,-408.80,1.00
20180913,SZSE.IDX.399662,1,-408.80,19.55
20180917,SZSE.IDX.399662,1,-384.66,-13.91
20180919,SZSE.IDX.399662,1,-403.82,20.26
20180920,SZSE.IDX.399662,1,-403.82,18.05
20180921,SZSE.IDX.399662,1,-403.82,46.11
20180926,SZSE.IDX.399662,1,-369.26,3.73
20180928,SZSE.IDX.399662,-1,-367.30,-7.92
20181009,SZSE.IDX.399662,1,-344.01,-5.56
20181011,SZSE.IDX.399662,-1,-346.24,54.68
20181012,SZSE.IDX.399662,-1,-346.24,64.36
20181015,SZSE.IDX.399662,-1,-346.24,86.33
